# time,frequency,rangerate
2.500000000000000000e+01,1.458713260000000000e+08,-7.198896056360618786e+03
2.850000000000000000e+01,1.458713220000000000e+08,-7.190675121748016863e+03
2.950000000000000000e+01,1.458713200000000000e+08,-7.186564654474998861e+03
3.100000000000000000e+01,1.458713240000000000e+08,-7.194785589087601693e+03
3.150000000000000000e+01,1.458713240000000000e+08,-7.194785589087601693e+03
3.200000000000000000e+01,1.458713240000000000e+08,-7.194785589087601693e+03
3.350000000000000000e+01,1.458713180000000000e+08,-7.182454187201981767e+03
3.400000000000000000e+01,1.458713200000000000e+08,-7.186564654474998861e+03
3.450000000000000000e+01,1.458713180000000000e+08,-7.182454187201981767e+03
3.500000000000000000e+01,1.458713180000000000e+08,-7.182454187201981767e+03
3.550000000000000000e+01,1.458713180000000000e+08,-7.182454187201981767e+03
3.600000000000000000e+01,1.458713160000000000e+08,-7.178343719928964674e+03
3.650000000000000000e+01,1.458713160000000000e+08,-7.178343719928964674e+03
3.700000000000000000e+01,1.458713200000000000e+08,-7.186564654474998861e+03
3.900000000000000000e+01,1.458713160000000000e+08,-7.178343719928964674e+03
3.950000000000000000e+01,1.458713060000000000e+08,-7.157791383497309653e+03
4.000000000000000000e+01,1.458713080000000000e+08,-7.161901850770327655e+03
4.050000000000000000e+01,1.458713100000000000e+08,-7.166012318043344749e+03
4.100000000000000000e+01,1.458713100000000000e+08,-7.166012318043344749e+03
4.150000000000000000e+01,1.458713040000000000e+08,-7.153680916157724823e+03
4.200000000000000000e+01,1.458713080000000000e+08,-7.161901850770327655e+03
4.250000000000000000e+01,1.458713080000000000e+08,-7.161901850770327655e+03
4.300000000000000000e+01,1.458713040000000000e+08,-7.153680916157724823e+03
4.400000000000000000e+01,1.458712920000000000e+08,-7.129018112453052709e+03
4.450000000000000000e+01,1.458713040000000000e+08,-7.153680916157724823e+03
4.500000000000000000e+01,1.458713020000000000e+08,-7.149570448884707730e+03
4.550000000000000000e+01,1.458713020000000000e+08,-7.149570448884707730e+03
4.600000000000000000e+01,1.458713040000000000e+08,-7.153680916157724823e+03
4.650000000000000000e+01,1.458713000000000000e+08,-7.145459981611690637e+03
4.900000000000000000e+01,1.458712820000000000e+08,-7.108465776021398597e+03
4.950000000000000000e+01,1.458712960000000000e+08,-7.137239047065655541e+03
5.000000000000000000e+01,1.458712940000000000e+08,-7.133128579726070711e+03
5.050000000000000000e+01,1.458712960000000000e+08,-7.137239047065655541e+03
5.100000000000000000e+01,1.458712940000000000e+08,-7.133128579726070711e+03
5.150000000000000000e+01,1.458712940000000000e+08,-7.133128579726070711e+03
5.200000000000000000e+01,1.458712920000000000e+08,-7.129018112453052709e+03
5.250000000000000000e+01,1.458712900000000000e+08,-7.124907645180035615e+03
5.300000000000000000e+01,1.458712880000000000e+08,-7.120797177907018522e+03
5.350000000000000000e+01,1.458712900000000000e+08,-7.124907645180035615e+03
5.400000000000000000e+01,1.458712880000000000e+08,-7.120797177907018522e+03
5.450000000000000000e+01,1.458712900000000000e+08,-7.124907645180035615e+03
5.500000000000000000e+01,1.458712880000000000e+08,-7.120797177907018522e+03
5.550000000000000000e+01,1.458712880000000000e+08,-7.120797177907018522e+03
5.600000000000000000e+01,1.458712860000000000e+08,-7.116686710567433693e+03
5.650000000000000000e+01,1.458712840000000000e+08,-7.112576243294415690e+03
5.700000000000000000e+01,1.458712820000000000e+08,-7.108465776021398597e+03
5.750000000000000000e+01,1.458712860000000000e+08,-7.116686710567433693e+03
5.850000000000000000e+01,1.458712820000000000e+08,-7.108465776021398597e+03
5.900000000000000000e+01,1.458712820000000000e+08,-7.108465776021398597e+03
5.950000000000000000e+01,1.458712860000000000e+08,-7.116686710567433693e+03
6.000000000000000000e+01,1.458712760000000000e+08,-7.096134374135778671e+03
6.050000000000000000e+01,1.458712800000000000e+08,-7.104355308748381503e+03
6.100000000000000000e+01,1.458712780000000000e+08,-7.100244841408796674e+03
6.150000000000000000e+01,1.458712760000000000e+08,-7.096134374135778671e+03
6.200000000000000000e+01,1.458712780000000000e+08,-7.100244841408796674e+03
6.250000000000000000e+01,1.458712740000000000e+08,-7.092023906862761578e+03
6.300000000000000000e+01,1.458712740000000000e+08,-7.092023906862761578e+03
6.400000000000000000e+01,1.458712720000000000e+08,-7.087913439589744485e+03
6.450000000000000000e+01,1.458712700000000000e+08,-7.083802972316726482e+03
6.500000000000000000e+01,1.458712700000000000e+08,-7.083802972316726482e+03
6.550000000000000000e+01,1.458712720000000000e+08,-7.087913439589744485e+03
6.600000000000000000e+01,1.458712700000000000e+08,-7.083802972316726482e+03
6.650000000000000000e+01,1.458712660000000000e+08,-7.075582037704124559e+03
6.700000000000000000e+01,1.458712680000000000e+08,-7.079692504977141652e+03
6.750000000000000000e+01,1.458712640000000000e+08,-7.071471570431107466e+03
6.800000000000000000e+01,1.458712640000000000e+08,-7.071471570431107466e+03
6.900000000000000000e+01,1.458712640000000000e+08,-7.071471570431107466e+03
6.950000000000000000e+01,1.458712640000000000e+08,-7.071471570431107466e+03
7.000000000000000000e+01,1.458712620000000000e+08,-7.067361103158089463e+03
7.050000000000000000e+01,1.458712620000000000e+08,-7.067361103158089463e+03
7.100000000000000000e+01,1.458712600000000000e+08,-7.063250635818504634e+03
7.150000000000000000e+01,1.458712600000000000e+08,-7.063250635818504634e+03
7.200000000000000000e+01,1.458712580000000000e+08,-7.059140168545487541e+03
7.250000000000000000e+01,1.458712580000000000e+08,-7.059140168545487541e+03
7.300000000000000000e+01,1.458712560000000000e+08,-7.055029701272469538e+03
7.400000000000000000e+01,1.458712540000000000e+08,-7.050919233999452445e+03
7.450000000000000000e+01,1.458712520000000000e+08,-7.046808766726435351e+03
7.500000000000000000e+01,1.458712560000000000e+08,-7.055029701272469538e+03
7.550000000000000000e+01,1.458712500000000000e+08,-7.042698299386850522e+03
7.600000000000000000e+01,1.458712520000000000e+08,-7.046808766726435351e+03
7.650000000000000000e+01,1.458712500000000000e+08,-7.042698299386850522e+03
7.700000000000000000e+01,1.458712520000000000e+08,-7.046808766726435351e+03
7.750000000000000000e+01,1.458712480000000000e+08,-7.038587832113832519e+03
7.800000000000000000e+01,1.458712480000000000e+08,-7.038587832113832519e+03
7.850000000000000000e+01,1.458712440000000000e+08,-7.030366897567798333e+03
7.950000000000000000e+01,1.458712440000000000e+08,-7.030366897567798333e+03
8.000000000000000000e+01,1.458712440000000000e+08,-7.030366897567798333e+03
8.050000000000000000e+01,1.458712420000000000e+08,-7.026256430228213503e+03
8.100000000000000000e+01,1.458712440000000000e+08,-7.030366897567798333e+03
8.150000000000000000e+01,1.458712420000000000e+08,-7.026256430228213503e+03
8.200000000000000000e+01,1.458712420000000000e+08,-7.026256430228213503e+03
