# time,frequency,rangerate
3.340000000000000000e+02,1.458692400000000000e+08,-2.080606689650555381e+03
3.355000000000000000e+02,1.458692240000000000e+08,-2.047723042463911952e+03
3.360000000000000000e+02,1.458692200000000000e+08,-2.039502130683892801e+03
3.365000000000000000e+02,1.458692120000000000e+08,-2.023060307123854955e+03
3.370000000000000000e+02,1.458692040000000000e+08,-2.006618483563816881e+03
3.415000000000000000e+02,1.458691340000000000e+08,-1.862752527280349568e+03
3.425000000000000000e+02,1.458691220000000000e+08,-1.838089791940292571e+03
3.430000000000000000e+02,1.458691200000000000e+08,-1.833979336050283109e+03
3.440000000000000000e+02,1.458691020000000000e+08,-1.796985232973630218e+03
3.445000000000000000e+02,1.458690940000000000e+08,-1.780543409413592144e+03
3.450000000000000000e+02,1.458690820000000000e+08,-1.755880674073535147e+03
3.455000000000000000e+02,1.458690760000000000e+08,-1.743549306403506762e+03
3.460000000000000000e+02,1.458690720000000000e+08,-1.735328394556920330e+03
3.465000000000000000e+02,1.458690660000000000e+08,-1.722997026886891945e+03
3.475000000000000000e+02,1.458690460000000000e+08,-1.681892467986796873e+03
3.485000000000000000e+02,1.458690340000000000e+08,-1.657229732580172367e+03
3.510000000000000000e+02,1.458689960000000000e+08,-1.579131070669991914e+03
3.515000000000000000e+02,1.458689880000000000e+08,-1.562689247043386558e+03
3.520000000000000000e+02,1.458689800000000000e+08,-1.546247423483348484e+03
3.525000000000000000e+02,1.458689720000000000e+08,-1.529805599923310410e+03
3.530000000000000000e+02,1.458689660000000000e+08,-1.517474232253282025e+03
3.535000000000000000e+02,1.458689540000000000e+08,-1.492811496846657747e+03
3.540000000000000000e+02,1.458689480000000000e+08,-1.480480129176629134e+03
3.545000000000000000e+02,1.458689400000000000e+08,-1.464038305616591060e+03
3.560000000000000000e+02,1.458689160000000000e+08,-1.414712834936477066e+03
3.565000000000000000e+02,1.458689080000000000e+08,-1.398271011309871710e+03
3.570000000000000000e+02,1.458689040000000000e+08,-1.390050099529852787e+03
3.575000000000000000e+02,1.458688980000000000e+08,-1.377718731859824175e+03
3.580000000000000000e+02,1.458688900000000000e+08,-1.361276908299786328e+03
3.585000000000000000e+02,1.458688820000000000e+08,-1.344835084739748254e+03
3.590000000000000000e+02,1.458688740000000000e+08,-1.328393261113142898e+03
3.595000000000000000e+02,1.458688660000000000e+08,-1.311951437553104824e+03
3.610000000000000000e+02,1.458688400000000000e+08,-1.258515510982981368e+03
3.615000000000000000e+02,1.458688340000000000e+08,-1.246184143246385474e+03
3.620000000000000000e+02,1.458688260000000000e+08,-1.229742319686347400e+03
3.625000000000000000e+02,1.458688200000000000e+08,-1.217410952016319015e+03
3.630000000000000000e+02,1.458688120000000000e+08,-1.200969128456280941e+03
3.635000000000000000e+02,1.458688020000000000e+08,-1.180416849006233406e+03
3.640000000000000000e+02,1.458687980000000000e+08,-1.172195937226214483e+03
3.645000000000000000e+02,1.458687920000000000e+08,-1.159864569489618589e+03
3.655000000000000000e+02,1.458687740000000000e+08,-1.122870466479532979e+03
3.665000000000000000e+02,1.458687580000000000e+08,-1.089986819359457058e+03
3.670000000000000000e+02,1.458687520000000000e+08,-1.077655451622861165e+03
3.675000000000000000e+02,1.458687440000000000e+08,-1.061213628062823091e+03
3.680000000000000000e+02,1.458687360000000000e+08,-1.044771804502785244e+03
3.685000000000000000e+02,1.458687260000000000e+08,-1.024219525052737708e+03
3.690000000000000000e+02,1.458687200000000000e+08,-1.011888157382709096e+03
3.695000000000000000e+02,1.458687080000000000e+08,-9.872254219760848173e+02
3.720000000000000000e+02,1.458686620000000000e+08,-8.926849364392988946e+02
3.735000000000000000e+02,1.458686560000000000e+08,-8.803535687692703959e+02
3.740000000000000000e+02,1.458686460000000000e+08,-8.598012893192228603e+02
3.745000000000000000e+02,1.458686280000000000e+08,-8.228071862425699692e+02
3.750000000000000000e+02,1.458686220000000000e+08,-8.104758185725414705e+02
