# time,frequency,rangerate
8.900000000000000000e+01,1.458710880000000000e+08,-2.810948668138484663e+03
9.200000000000000000e+01,1.458710780000000000e+08,-2.790396598974531571e+03
9.250000000000000000e+01,1.458710800000000000e+08,-2.794507012794008460e+03
9.300000000000000000e+01,1.458710800000000000e+08,-2.794507012794008460e+03
9.350000000000000000e+01,1.458710760000000000e+08,-2.786286185088486945e+03
9.400000000000000000e+01,1.458710740000000000e+08,-2.782175771269009601e+03
9.450000000000000000e+01,1.458710760000000000e+08,-2.786286185088486945e+03
9.500000000000000000e+01,1.458710700000000000e+08,-2.773954943630055368e+03
9.550000000000000000e+01,1.458710700000000000e+08,-2.773954943630055368e+03
9.600000000000000000e+01,1.458710660000000000e+08,-2.765734115924533398e+03
9.650000000000000000e+01,1.458710640000000000e+08,-2.761623702105056054e+03
9.700000000000000000e+01,1.458710640000000000e+08,-2.761623702105056054e+03
9.750000000000000000e+01,1.458710620000000000e+08,-2.757513288285578710e+03
9.800000000000000000e+01,1.458710600000000000e+08,-2.753402874466101821e+03
9.850000000000000000e+01,1.458710600000000000e+08,-2.753402874466101821e+03
9.900000000000000000e+01,1.458710580000000000e+08,-2.749292460646624477e+03
9.950000000000000000e+01,1.458710560000000000e+08,-2.745182046760579851e+03
1.000000000000000000e+02,1.458710540000000000e+08,-2.741071632941102507e+03
1.010000000000000000e+02,1.458710480000000000e+08,-2.728740391482670930e+03
1.015000000000000000e+02,1.458710480000000000e+08,-2.728740391482670930e+03
1.020000000000000000e+02,1.458710460000000000e+08,-2.724629977596626304e+03
1.025000000000000000e+02,1.458710460000000000e+08,-2.724629977596626304e+03
1.035000000000000000e+02,1.458710420000000000e+08,-2.716409149957672071e+03
1.040000000000000000e+02,1.458710420000000000e+08,-2.716409149957672071e+03
1.045000000000000000e+02,1.458710400000000000e+08,-2.712298736138194727e+03
1.050000000000000000e+02,1.458710380000000000e+08,-2.708188322318717383e+03
1.095000000000000000e+02,1.458710200000000000e+08,-2.671194597810287632e+03
1.100000000000000000e+02,1.458710200000000000e+08,-2.671194597810287632e+03
1.105000000000000000e+02,1.458710180000000000e+08,-2.667084183990810743e+03
1.110000000000000000e+02,1.458710140000000000e+08,-2.658863356285288774e+03
1.115000000000000000e+02,1.458710120000000000e+08,-2.654752942465811429e+03
1.120000000000000000e+02,1.458710120000000000e+08,-2.654752942465811429e+03
1.125000000000000000e+02,1.458710100000000000e+08,-2.650642528646334540e+03
1.130000000000000000e+02,1.458710080000000000e+08,-2.646532114826857196e+03
1.135000000000000000e+02,1.458710060000000000e+08,-2.642421700940812570e+03
1.140000000000000000e+02,1.458710040000000000e+08,-2.638311287121335226e+03
1.145000000000000000e+02,1.458710040000000000e+08,-2.638311287121335226e+03
1.150000000000000000e+02,1.458710020000000000e+08,-2.634200873301857882e+03
1.155000000000000000e+02,1.458709980000000000e+08,-2.625980045662903649e+03
1.165000000000000000e+02,1.458709920000000000e+08,-2.613648804137904790e+03
1.170000000000000000e+02,1.458709940000000000e+08,-2.617759217957381679e+03
1.175000000000000000e+02,1.458709920000000000e+08,-2.613648804137904790e+03
1.180000000000000000e+02,1.458709900000000000e+08,-2.609538390318427446e+03
1.185000000000000000e+02,1.458709880000000000e+08,-2.605427976498950102e+03
1.190000000000000000e+02,1.458709860000000000e+08,-2.601317562612905476e+03
1.195000000000000000e+02,1.458709840000000000e+08,-2.597207148793428587e+03
1.200000000000000000e+02,1.458709820000000000e+08,-2.593096734973951243e+03
1.205000000000000000e+02,1.458709800000000000e+08,-2.588986321154473899e+03
1.215000000000000000e+02,1.458709740000000000e+08,-2.576655079629475040e+03
1.220000000000000000e+02,1.458709740000000000e+08,-2.576655079629475040e+03
1.225000000000000000e+02,1.458709700000000000e+08,-2.568434251990520352e+03
1.230000000000000000e+02,1.458709700000000000e+08,-2.568434251990520352e+03
1.235000000000000000e+02,1.458709700000000000e+08,-2.568434251990520352e+03
1.240000000000000000e+02,1.458709680000000000e+08,-2.564323838171043008e+03
1.245000000000000000e+02,1.458709660000000000e+08,-2.560213424351566118e+03
1.250000000000000000e+02,1.458709620000000000e+08,-2.551992596646044149e+03
1.255000000000000000e+02,1.458709620000000000e+08,-2.551992596646044149e+03
1.260000000000000000e+02,1.458709580000000000e+08,-2.543771769007089915e+03
1.265000000000000000e+02,1.458709540000000000e+08,-2.535550941301567946e+03
1.270000000000000000e+02,1.458709540000000000e+08,-2.535550941301567946e+03
1.275000000000000000e+02,1.458709560000000000e+08,-2.539661355187612571e+03
1.280000000000000000e+02,1.458709480000000000e+08,-2.523219699843136368e+03
1.285000000000000000e+02,1.458709500000000000e+08,-2.527330113662613712e+03
1.290000000000000000e+02,1.458709460000000000e+08,-2.519109286023659024e+03
1.295000000000000000e+02,1.458709480000000000e+08,-2.523219699843136368e+03
1.300000000000000000e+02,1.458709420000000000e+08,-2.510888458318137509e+03
1.305000000000000000e+02,1.458709440000000000e+08,-2.514998872137614399e+03
1.310000000000000000e+02,1.458709400000000000e+08,-2.506778044498660165e+03
1.315000000000000000e+02,1.458709360000000000e+08,-2.498557216859705477e+03
1.325000000000000000e+02,1.458709320000000000e+08,-2.490336389154183962e+03
1.340000000000000000e+02,1.458709260000000000e+08,-2.478005147695751930e+03
1.345000000000000000e+02,1.458709260000000000e+08,-2.478005147695751930e+03
1.350000000000000000e+02,1.458709220000000000e+08,-2.469784319990230415e+03
1.355000000000000000e+02,1.458709200000000000e+08,-2.465673906170753071e+03
1.360000000000000000e+02,1.458709180000000000e+08,-2.461563492351275727e+03
1.365000000000000000e+02,1.458709140000000000e+08,-2.453342664645754212e+03
1.370000000000000000e+02,1.458709120000000000e+08,-2.449232250826276868e+03
1.375000000000000000e+02,1.458709100000000000e+08,-2.445121837006799524e+03
1.380000000000000000e+02,1.458709120000000000e+08,-2.449232250826276868e+03
1.390000000000000000e+02,1.458709060000000000e+08,-2.436901009367845290e+03
1.395000000000000000e+02,1.458709040000000000e+08,-2.432790595481800665e+03
1.400000000000000000e+02,1.458709020000000000e+08,-2.428680181662323321e+03
1.405000000000000000e+02,1.458709000000000000e+08,-2.424569767842845977e+03
1.410000000000000000e+02,1.458708960000000000e+08,-2.416348940203891743e+03
1.415000000000000000e+02,1.458708940000000000e+08,-2.412238526317847118e+03
1.420000000000000000e+02,1.458708880000000000e+08,-2.399907284859415540e+03
1.425000000000000000e+02,1.458708920000000000e+08,-2.408128112498369774e+03
1.430000000000000000e+02,1.458708900000000000e+08,-2.404017698678892884e+03
1.435000000000000000e+02,1.458708860000000000e+08,-2.395796871039938196e+03
1.440000000000000000e+02,1.458708840000000000e+08,-2.391686457153893571e+03
1.445000000000000000e+02,1.458708800000000000e+08,-2.383465629514939337e+03
1.450000000000000000e+02,1.458708780000000000e+08,-2.379355215695461993e+03
1.455000000000000000e+02,1.458708760000000000e+08,-2.375244801875984649e+03
1.460000000000000000e+02,1.458708760000000000e+08,-2.375244801875984649e+03
1.480000000000000000e+02,1.458708680000000000e+08,-2.358803146531508446e+03
1.485000000000000000e+02,1.458708620000000000e+08,-2.346471905006509587e+03
1.495000000000000000e+02,1.458708580000000000e+08,-2.338251077367554899e+03
1.500000000000000000e+02,1.458708560000000000e+08,-2.334140663548078010e+03
1.505000000000000000e+02,1.458708540000000000e+08,-2.330030249662033384e+03
1.510000000000000000e+02,1.458708520000000000e+08,-2.325919835842556040e+03
1.515000000000000000e+02,1.458708480000000000e+08,-2.317699008203601807e+03
1.525000000000000000e+02,1.458708440000000000e+08,-2.309478180498079837e+03
1.540000000000000000e+02,1.458708380000000000e+08,-2.297146939039648259e+03
1.545000000000000000e+02,1.458708340000000000e+08,-2.288926111334126290e+03
1.550000000000000000e+02,1.458708340000000000e+08,-2.288926111334126290e+03
1.555000000000000000e+02,1.458708300000000000e+08,-2.280705283695172056e+03
1.560000000000000000e+02,1.458708280000000000e+08,-2.276594869875694712e+03
1.565000000000000000e+02,1.458708260000000000e+08,-2.272484456056217368e+03
1.580000000000000000e+02,1.458708180000000000e+08,-2.256042800711741165e+03
1.585000000000000000e+02,1.458708160000000000e+08,-2.251932386892263821e+03
1.590000000000000000e+02,1.458708140000000000e+08,-2.247821973006219196e+03
1.595000000000000000e+02,1.458708140000000000e+08,-2.247821973006219196e+03
1.600000000000000000e+02,1.458708060000000000e+08,-2.231380317728310274e+03
1.605000000000000000e+02,1.458708060000000000e+08,-2.231380317728310274e+03
1.610000000000000000e+02,1.458708040000000000e+08,-2.227269903842266103e+03
1.615000000000000000e+02,1.458708000000000000e+08,-2.219049076203311415e+03
1.625000000000000000e+02,1.458707920000000000e+08,-2.202607420858835212e+03
1.630000000000000000e+02,1.458707940000000000e+08,-2.206717834744879838e+03
1.635000000000000000e+02,1.458707880000000000e+08,-2.194386593219880979e+03
1.640000000000000000e+02,1.458707880000000000e+08,-2.194386593219880979e+03
1.645000000000000000e+02,1.458707860000000000e+08,-2.190276179400403635e+03
1.650000000000000000e+02,1.458707820000000000e+08,-2.182055351694881665e+03
1.655000000000000000e+02,1.458707820000000000e+08,-2.182055351694881665e+03
1.660000000000000000e+02,1.458707780000000000e+08,-2.173834524055927432e+03
1.665000000000000000e+02,1.458707720000000000e+08,-2.161503282530928118e+03
1.675000000000000000e+02,1.458707660000000000e+08,-2.149172041072496540e+03
1.690000000000000000e+02,1.458707620000000000e+08,-2.140951213366975026e+03
1.695000000000000000e+02,1.458707600000000000e+08,-2.136840799547497681e+03
1.700000000000000000e+02,1.458707580000000000e+08,-2.132730385728020337e+03
1.705000000000000000e+02,1.458707560000000000e+08,-2.128619971908542993e+03
1.710000000000000000e+02,1.458707520000000000e+08,-2.120399144203021478e+03
1.715000000000000000e+02,1.458707500000000000e+08,-2.116288730383544134e+03
1.720000000000000000e+02,1.458707460000000000e+08,-2.108067902744589446e+03
1.730000000000000000e+02,1.458707400000000000e+08,-2.095736661219590587e+03
1.760000000000000000e+02,1.458707220000000000e+08,-2.058742936711160837e+03
1.770000000000000000e+02,1.458707200000000000e+08,-2.054632522891683493e+03
1.775000000000000000e+02,1.458707160000000000e+08,-2.046411695252729260e+03
1.785000000000000000e+02,1.458707120000000000e+08,-2.038190867547207517e+03
1.790000000000000000e+02,1.458707080000000000e+08,-2.029970039908253057e+03
1.795000000000000000e+02,1.458707060000000000e+08,-2.025859626088775713e+03
1.800000000000000000e+02,1.458707040000000000e+08,-2.021749212269298596e+03
1.805000000000000000e+02,1.458706980000000000e+08,-2.009417970744299510e+03
1.810000000000000000e+02,1.458706980000000000e+08,-2.009417970744299510e+03
1.815000000000000000e+02,1.458706960000000000e+08,-2.005307556924822393e+03
1.820000000000000000e+02,1.458706920000000000e+08,-1.997086729219300651e+03
1.835000000000000000e+02,1.458706840000000000e+08,-1.980645073941391502e+03
1.840000000000000000e+02,1.458706840000000000e+08,-1.980645073941391502e+03
1.845000000000000000e+02,1.458706800000000000e+08,-1.972424246235869759e+03
1.850000000000000000e+02,1.458706760000000000e+08,-1.964203418596915299e+03
1.855000000000000000e+02,1.458706700000000000e+08,-1.951872177071916440e+03
1.860000000000000000e+02,1.458706700000000000e+08,-1.951872177071916440e+03
1.865000000000000000e+02,1.458706660000000000e+08,-1.943651349432961979e+03
1.870000000000000000e+02,1.458706620000000000e+08,-1.935430521727440237e+03
1.875000000000000000e+02,1.458706580000000000e+08,-1.927209694088485776e+03
1.885000000000000000e+02,1.458706560000000000e+08,-1.923099280269008432e+03
1.895000000000000000e+02,1.458706460000000000e+08,-1.902547211105054885e+03
1.900000000000000000e+02,1.458706480000000000e+08,-1.906657624924532229e+03
1.905000000000000000e+02,1.458706420000000000e+08,-1.894326383399533142e+03
1.910000000000000000e+02,1.458706400000000000e+08,-1.890215969580056026e+03
1.915000000000000000e+02,1.458706360000000000e+08,-1.881995141941101565e+03
1.920000000000000000e+02,1.458706320000000000e+08,-1.873774314235579823e+03
1.925000000000000000e+02,1.458706280000000000e+08,-1.865553486596625362e+03
1.940000000000000000e+02,1.458706220000000000e+08,-1.853222245138193557e+03
1.945000000000000000e+02,1.458706180000000000e+08,-1.845001417432671815e+03
1.950000000000000000e+02,1.458706180000000000e+08,-1.845001417432671815e+03
1.955000000000000000e+02,1.458706140000000000e+08,-1.836780589793717354e+03
1.960000000000000000e+02,1.458706100000000000e+08,-1.828559762088195612e+03
1.965000000000000000e+02,1.458706060000000000e+08,-1.820338934449241151e+03
1.975000000000000000e+02,1.458705960000000000e+08,-1.799786865285287604e+03
1.985000000000000000e+02,1.458705900000000000e+08,-1.787455623760288518e+03
1.990000000000000000e+02,1.458705880000000000e+08,-1.783345209940811401e+03
1.995000000000000000e+02,1.458705860000000000e+08,-1.779234796121334057e+03
2.000000000000000000e+02,1.458705820000000000e+08,-1.771013968482379596e+03
2.005000000000000000e+02,1.458705800000000000e+08,-1.766903554596335198e+03
2.010000000000000000e+02,1.458705740000000000e+08,-1.754572313137903393e+03
2.015000000000000000e+02,1.458705740000000000e+08,-1.754572313137903393e+03
2.020000000000000000e+02,1.458705680000000000e+08,-1.742241071612904534e+03
2.025000000000000000e+02,1.458705660000000000e+08,-1.738130657793427190e+03
2.045000000000000000e+02,1.458705480000000000e+08,-1.701136933284997440e+03
2.195000000000000000e+02,1.458704680000000000e+08,-1.536720379973369745e+03
2.200000000000000000e+02,1.458704680000000000e+08,-1.536720379973369745e+03
2.215000000000000000e+02,1.458704600000000000e+08,-1.520278724628893542e+03
2.220000000000000000e+02,1.458704540000000000e+08,-1.507947483170461737e+03
2.245000000000000000e+02,1.458704300000000000e+08,-1.458622517203600410e+03
2.250000000000000000e+02,1.458704240000000000e+08,-1.446291275678601323e+03
