# time,frequency,rangerate
1.700000000000000000e+01,1.458713580000000000e+08,-7.420214811270919199e+03
1.750000000000000000e+01,1.458713600000000000e+08,-7.424325280674090209e+03
1.800000000000000000e+01,1.458713560000000000e+08,-7.416104341801181363e+03
1.850000000000000000e+01,1.458713560000000000e+08,-7.416104341801181363e+03
1.900000000000000000e+01,1.458713560000000000e+08,-7.416104341801181363e+03
1.950000000000000000e+01,1.458713580000000000e+08,-7.420214811270919199e+03
2.000000000000000000e+01,1.458713560000000000e+08,-7.416104341801181363e+03
2.050000000000000000e+01,1.458713560000000000e+08,-7.416104341801181363e+03
2.100000000000000000e+01,1.458713560000000000e+08,-7.416104341801181363e+03
2.150000000000000000e+01,1.458713520000000000e+08,-7.407883402994839344e+03
2.200000000000000000e+01,1.458713560000000000e+08,-7.416104341801181363e+03
2.250000000000000000e+01,1.458713560000000000e+08,-7.416104341801181363e+03
2.300000000000000000e+01,1.458713540000000000e+08,-7.411993872398010353e+03
2.350000000000000000e+01,1.458713540000000000e+08,-7.411993872398010353e+03
2.400000000000000000e+01,1.458713520000000000e+08,-7.407883402994839344e+03
2.450000000000000000e+01,1.458713540000000000e+08,-7.411993872398010353e+03
2.500000000000000000e+01,1.458713520000000000e+08,-7.407883402994839344e+03
2.550000000000000000e+01,1.458713520000000000e+08,-7.407883402994839344e+03
2.600000000000000000e+01,1.458713520000000000e+08,-7.407883402994839344e+03
2.650000000000000000e+01,1.458713520000000000e+08,-7.407883402994839344e+03
2.700000000000000000e+01,1.458713480000000000e+08,-7.399662464121929588e+03
2.750000000000000000e+01,1.458713500000000000e+08,-7.403772933591668334e+03
2.800000000000000000e+01,1.458713500000000000e+08,-7.403772933591668334e+03
2.850000000000000000e+01,1.458713500000000000e+08,-7.403772933591668334e+03
2.900000000000000000e+01,1.458713520000000000e+08,-7.407883402994839344e+03
2.950000000000000000e+01,1.458713480000000000e+08,-7.399662464121929588e+03
3.000000000000000000e+01,1.458713480000000000e+08,-7.399662464121929588e+03
3.050000000000000000e+01,1.458713480000000000e+08,-7.399662464121929588e+03
3.100000000000000000e+01,1.458713480000000000e+08,-7.399662464121929588e+03
3.400000000000000000e+01,1.458713440000000000e+08,-7.391441525315587569e+03
3.450000000000000000e+01,1.458713460000000000e+08,-7.395551994718758579e+03
3.500000000000000000e+01,1.458713480000000000e+08,-7.399662464121929588e+03
3.550000000000000000e+01,1.458713440000000000e+08,-7.391441525315587569e+03
3.600000000000000000e+01,1.458713460000000000e+08,-7.395551994718758579e+03
3.650000000000000000e+01,1.458713440000000000e+08,-7.391441525315587569e+03
3.750000000000000000e+01,1.458713440000000000e+08,-7.391441525315587569e+03
3.800000000000000000e+01,1.458713460000000000e+08,-7.395551994718758579e+03
3.850000000000000000e+01,1.458713420000000000e+08,-7.387331055912416559e+03
3.900000000000000000e+01,1.458713440000000000e+08,-7.391441525315587569e+03
3.950000000000000000e+01,1.458713420000000000e+08,-7.387331055912416559e+03
4.000000000000000000e+01,1.458713420000000000e+08,-7.387331055912416559e+03
4.050000000000000000e+01,1.458713420000000000e+08,-7.387331055912416559e+03
4.100000000000000000e+01,1.458713420000000000e+08,-7.387331055912416559e+03
4.150000000000000000e+01,1.458713400000000000e+08,-7.383220586442678723e+03
4.250000000000000000e+01,1.458713400000000000e+08,-7.383220586442678723e+03
4.300000000000000000e+01,1.458713420000000000e+08,-7.387331055912416559e+03
4.350000000000000000e+01,1.458713400000000000e+08,-7.383220586442678723e+03
4.400000000000000000e+01,1.458713380000000000e+08,-7.379110117039507713e+03
4.450000000000000000e+01,1.458713400000000000e+08,-7.383220586442678723e+03
4.500000000000000000e+01,1.458713400000000000e+08,-7.383220586442678723e+03
4.550000000000000000e+01,1.458713380000000000e+08,-7.379110117039507713e+03
4.600000000000000000e+01,1.458713380000000000e+08,-7.379110117039507713e+03
4.650000000000000000e+01,1.458713380000000000e+08,-7.379110117039507713e+03
4.700000000000000000e+01,1.458713360000000000e+08,-7.374999647636336704e+03
4.750000000000000000e+01,1.458713340000000000e+08,-7.370889178166597958e+03
4.800000000000000000e+01,1.458713340000000000e+08,-7.370889178166597958e+03
4.850000000000000000e+01,1.458713340000000000e+08,-7.370889178166597958e+03
4.900000000000000000e+01,1.458713360000000000e+08,-7.374999647636336704e+03
4.950000000000000000e+01,1.458713360000000000e+08,-7.374999647636336704e+03
5.000000000000000000e+01,1.458713340000000000e+08,-7.370889178166597958e+03
5.050000000000000000e+01,1.458713340000000000e+08,-7.370889178166597958e+03
5.100000000000000000e+01,1.458713320000000000e+08,-7.366778708763426948e+03
5.150000000000000000e+01,1.458713360000000000e+08,-7.374999647636336704e+03
5.250000000000000000e+01,1.458713320000000000e+08,-7.366778708763426948e+03
5.300000000000000000e+01,1.458713300000000000e+08,-7.362668239360255939e+03
5.350000000000000000e+01,1.458713300000000000e+08,-7.362668239360255939e+03
5.400000000000000000e+01,1.458713320000000000e+08,-7.366778708763426948e+03
5.450000000000000000e+01,1.458713300000000000e+08,-7.362668239360255939e+03
5.500000000000000000e+01,1.458713300000000000e+08,-7.362668239360255939e+03
5.550000000000000000e+01,1.458713300000000000e+08,-7.362668239360255939e+03
5.600000000000000000e+01,1.458713300000000000e+08,-7.362668239360255939e+03
5.650000000000000000e+01,1.458713300000000000e+08,-7.362668239360255939e+03
5.700000000000000000e+01,1.458713280000000000e+08,-7.358557769957084929e+03
5.750000000000000000e+01,1.458713240000000000e+08,-7.350336831084176083e+03
5.850000000000000000e+01,1.458713320000000000e+08,-7.366778708763426948e+03
5.900000000000000000e+01,1.458713280000000000e+08,-7.358557769957084929e+03
5.950000000000000000e+01,1.458713280000000000e+08,-7.358557769957084929e+03
6.000000000000000000e+01,1.458713260000000000e+08,-7.354447300487347093e+03
6.050000000000000000e+01,1.458713300000000000e+08,-7.362668239360255939e+03
6.100000000000000000e+01,1.458713260000000000e+08,-7.354447300487347093e+03
6.150000000000000000e+01,1.458713260000000000e+08,-7.354447300487347093e+03
6.200000000000000000e+01,1.458713240000000000e+08,-7.350336831084176083e+03
6.300000000000000000e+01,1.458713220000000000e+08,-7.346226361681005073e+03
6.350000000000000000e+01,1.458713200000000000e+08,-7.342115892277834064e+03
6.400000000000000000e+01,1.458713220000000000e+08,-7.346226361681005073e+03
6.450000000000000000e+01,1.458713220000000000e+08,-7.346226361681005073e+03
6.500000000000000000e+01,1.458713220000000000e+08,-7.346226361681005073e+03
6.550000000000000000e+01,1.458713200000000000e+08,-7.342115892277834064e+03
6.600000000000000000e+01,1.458713200000000000e+08,-7.342115892277834064e+03
6.650000000000000000e+01,1.458713200000000000e+08,-7.342115892277834064e+03
6.700000000000000000e+01,1.458713200000000000e+08,-7.342115892277834064e+03
